Month,Insurer,Premium_Rs_Crore,No_of_Policies
2021-04,LIC,10380.41,954228
2021-05,LIC,11124.46,986155
2021-06,LIC,18260.43,1564016
2021-07,LIC,17832.82,1606005
2021-08,LIC,13337.39,1309280
2021-09,LIC,13287.81,1264880
2021-10,LIC,14051.69,1358086
2021-11,LIC,14637.7,1355177
2021-12,LIC,17182.82,1514315
2022-01,LIC,12169.92,1074074
2022-02,LIC,13445.94,1136236
2022-03,LIC,21299.73,1686438
2022-04,LIC,9952.39,905163
2022-05,LIC,12758.08,1285363
2022-06,LIC,15879.76,1317778
2022-07,LIC,14986.73,1344004
2022-08,LIC,13234.18,1377598
2022-09,LIC,14700.39,1232192
2022-10,LIC,13712.67,1233342
2022-11,LIC,9874.67,855818
2022-12,LIC,15773.31,1546087
2023-01,LIC,13892.96,1245696
2023-02,LIC,13462.11,1234891
2023-03,LIC,24178.76,2000645
2023-04,LIC,10775.35,1132122
2023-05,LIC,11706.42,1001395
2023-06,LIC,13757.67,1355394
2023-07,LIC,14585.35,1231264
2023-08,LIC,13694.6,1204124
2023-09,LIC,14108.06,1263314
2023-10,LIC,16465.84,1404349
2023-11,LIC,12766.0,1083194
2023-12,LIC,14118.73,1307457
2024-01,LIC,13320.07,1142305
2024-02,LIC,15142.26,1405324
2024-03,LIC,21128.88,2091301
2024-04,LIC,9856.23,725233
2024-05,LIC,11960.87,1163426
2024-06,LIC,14416.74,1483737
2024-07,LIC,14916.78,1359046
2024-08,LIC,15611.84,1313642
2024-09,LIC,15668.25,1386139
2024-10,LIC,16440.78,1687151
2024-11,LIC,12137.41,986565
2024-12,LIC,15083.77,1352996
2025-01,LIC,14478.7,1384830
2025-02,LIC,14761.71,1319081
2025-03,LIC,22827.02,2014236
2025-04,LIC,11427.88,1004232
2025-05,LIC,13458.14,1324267
2025-06,LIC,13819.7,1284065
2025-07,LIC,15620.36,1769678
2025-08,LIC,15998.05,1359394
2025-09,LIC,17845.91,1572491
2025-10,LIC,14008.76,1261516
2025-11,LIC,14618.51,1277684
2025-12,LIC,15541.42,1515500
2026-01,LIC,14242.63,1283921
2026-02,LIC,15871.7,1262267
2026-03,LIC,22504.89,2242118
2026-04,LIC,11229.74,1022170
2026-05,LIC,13156.43,1233876
2026-06,LIC,15920.14,1537643
2026-07,LIC,15923.54,1704902
2021-04,SBI Life,1723.9,101872
2021-05,SBI Life,2232.73,135078
2021-06,SBI Life,2231.23,149592
2021-07,SBI Life,2823.61,171078
2021-08,SBI Life,3106.36,194633
2021-09,SBI Life,2574.7,164110
2021-10,SBI Life,2934.54,217190
2021-11,SBI Life,2514.3,165023
2021-12,SBI Life,2564.84,163814
2022-01,SBI Life,2457.27,138214
2022-02,SBI Life,2667.11,184119
2022-03,SBI Life,4658.45,309163
2022-04,SBI Life,2048.68,148085
2022-05,SBI Life,3043.81,187310
2022-06,SBI Life,2976.55,170541
2022-07,SBI Life,3105.39,191389
2022-08,SBI Life,2893.69,184348
2022-09,SBI Life,3279.02,214096
2022-10,SBI Life,3360.89,241171
2022-11,SBI Life,2876.58,184734
2022-12,SBI Life,3250.52,192681
2023-01,SBI Life,3439.7,187352
2023-02,SBI Life,2846.18,175271
2023-03,SBI Life,5042.35,363713
2023-04,SBI Life,2506.56,146512
2023-05,SBI Life,2845.42,182478
2023-06,SBI Life,3628.42,219659
2023-07,SBI Life,3570.52,197116
2023-08,SBI Life,3143.86,204410
2023-09,SBI Life,3693.62,200782
2023-10,SBI Life,2964.25,201803
2023-11,SBI Life,3050.23,212771
2023-12,SBI Life,3769.54,233157
2024-01,SBI Life,3441.69,181089
2024-02,SBI Life,3475.92,209500
2024-03,SBI Life,5834.04,362859
2024-04,SBI Life,2792.34,165741
2024-05,SBI Life,3187.99,170457
2024-06,SBI Life,3706.14,221222
2024-07,SBI Life,3864.12,237561
2024-08,SBI Life,3804.05,222622
2024-09,SBI Life,4515.57,252841
2024-10,SBI Life,4399.68,261793
2024-11,SBI Life,4080.85,270415
2024-12,SBI Life,4408.28,272955
2025-01,SBI Life,3752.81,214602
2025-02,SBI Life,4155.52,238734
2025-03,SBI Life,6567.81,402073
2025-04,SBI Life,3409.39,212729
2025-05,SBI Life,2789.56,163198
2025-06,SBI Life,4158.62,240945
2025-07,SBI Life,4483.02,241130
2025-08,SBI Life,4798.65,256019
2025-09,SBI Life,5399.5,326888
2025-10,SBI Life,5037.48,302824
2025-11,SBI Life,4433.27,253114
2025-12,SBI Life,5299.29,337516
2026-01,SBI Life,4034.19,250553
2026-02,SBI Life,4883.47,309857
2026-03,SBI Life,8286.02,560685
2026-04,SBI Life,3924.07,263815
2026-05,SBI Life,4114.92,302590
2026-06,SBI Life,5281.84,389834
2026-07,SBI Life,5373.76,322049
2021-04,HDFC Life,1479.05,73374
2021-05,HDFC Life,1791.82,94648
2021-06,HDFC Life,2303.5,124078
2021-07,HDFC Life,2005.66,100732
2021-08,HDFC Life,2352.33,135353
2021-09,HDFC Life,2353.13,129616
2021-10,HDFC Life,2579.55,143840
2021-11,HDFC Life,2115.54,113476
2021-12,HDFC Life,2560.46,147001
2022-01,HDFC Life,2103.48,119043
2022-02,HDFC Life,2323.56,141021
2022-03,HDFC Life,3636.81,219520
2022-04,HDFC Life,1705.28,92746
2022-05,HDFC Life,2098.7,105006
2022-06,HDFC Life,2405.76,116918
2022-07,HDFC Life,2747.67,149982
2022-08,HDFC Life,2415.03,114008
2022-09,HDFC Life,2599.33,135615
2022-10,HDFC Life,2694.7,147543
2022-11,HDFC Life,2548.72,132100
2022-12,HDFC Life,2944.96,145534
2023-01,HDFC Life,2358.46,130929
2023-02,HDFC Life,2515.02,139878
2023-03,HDFC Life,3353.01,180344
2023-04,HDFC Life,2098.69,115728
2023-05,HDFC Life,2287.96,100087
2023-06,HDFC Life,2766.86,132744
2023-07,HDFC Life,2878.75,142371
2023-08,HDFC Life,3080.01,147112
2023-09,HDFC Life,3083.56,168406
2023-10,HDFC Life,3133.78,166314
2023-11,HDFC Life,3121.16,161334
2023-12,HDFC Life,3352.36,178496
2024-01,HDFC Life,2511.53,120555
2024-02,HDFC Life,2647.89,129861
2024-03,HDFC Life,5412.64,312414
2024-04,HDFC Life,2104.16,105988
2024-05,HDFC Life,2810.81,150776
2024-06,HDFC Life,3005.94,153862
2024-07,HDFC Life,3083.66,149772
2024-08,HDFC Life,3155.23,172820
2024-09,HDFC Life,3562.77,191922
2024-10,HDFC Life,3092.53,179419
2024-11,HDFC Life,3506.68,187520
2024-12,HDFC Life,4275.6,245873
2025-01,HDFC Life,3209.92,159290
2025-02,HDFC Life,3219.72,187920
2025-03,HDFC Life,4832.05,229249
2025-04,HDFC Life,2619.78,149715
2025-05,HDFC Life,3519.13,169992
2025-06,HDFC Life,3657.77,239606
2025-07,HDFC Life,2549.71,151424
2025-08,HDFC Life,3193.24,165331
2025-09,HDFC Life,3312.92,179994
2025-10,HDFC Life,4313.8,238971
2025-11,HDFC Life,3952.83,187212
2025-12,HDFC Life,3561.85,206203
2026-01,HDFC Life,3172.92,159403
2026-02,HDFC Life,2879.7,153955
2026-03,HDFC Life,5789.47,320772
2026-04,HDFC Life,2692.33,152222
2026-05,HDFC Life,2827.27,141076
2026-06,HDFC Life,3699.71,209966
2026-07,HDFC Life,4045.37,208353
2021-04,ICICI Prudential Life,1112.46,70990
2021-05,ICICI Prudential Life,1442.73,75131
2021-06,ICICI Prudential Life,1390.26,78209
2021-07,ICICI Prudential Life,1561.96,117685
2021-08,ICICI Prudential Life,1541.1,97722
2021-09,ICICI Prudential Life,1526.8,87928
2021-10,ICICI Prudential Life,1541.92,90358
2021-11,ICICI Prudential Life,1452.06,80518
2021-12,ICICI Prudential Life,1731.67,91330
2022-01,ICICI Prudential Life,1324.82,84948
2022-02,ICICI Prudential Life,1626.96,100562
2022-03,ICICI Prudential Life,2611.57,136381
2022-04,ICICI Prudential Life,1212.06,73727
2022-05,ICICI Prudential Life,1386.67,83705
2022-06,ICICI Prudential Life,1620.29,81739
2022-07,ICICI Prudential Life,1662.39,90896
2022-08,ICICI Prudential Life,1465.08,93740
2022-09,ICICI Prudential Life,1916.43,120889
2022-10,ICICI Prudential Life,1799.77,107757
2022-11,ICICI Prudential Life,1745.85,101917
2022-12,ICICI Prudential Life,1682.37,90667
2023-01,ICICI Prudential Life,1680.31,89873
2023-02,ICICI Prudential Life,1769.77,102077
2023-03,ICICI Prudential Life,2608.23,164154
2023-04,ICICI Prudential Life,1312.41,80267
2023-05,ICICI Prudential Life,1522.63,83994
2023-06,ICICI Prudential Life,1723.49,109994
2023-07,ICICI Prudential Life,1811.1,111463
2023-08,ICICI Prudential Life,1931.92,102523
2023-09,ICICI Prudential Life,1788.76,102907
2023-10,ICICI Prudential Life,1734.44,91120
2023-11,ICICI Prudential Life,1842.57,89465
2023-12,ICICI Prudential Life,2044.1,113642
2024-01,ICICI Prudential Life,1816.87,103223
2024-02,ICICI Prudential Life,2143.19,113819
2024-03,ICICI Prudential Life,3103.97,181135
2024-04,ICICI Prudential Life,1352.13,80345
2024-05,ICICI Prudential Life,1971.11,111283
2024-06,ICICI Prudential Life,1908.78,116250
2024-07,ICICI Prudential Life,2149.2,155246
2024-08,ICICI Prudential Life,1863.41,122281
2024-09,ICICI Prudential Life,1984.58,119226
2024-10,ICICI Prudential Life,2104.33,126545
2024-11,ICICI Prudential Life,2101.89,125215
2024-12,ICICI Prudential Life,1861.25,100433
2025-01,ICICI Prudential Life,2025.61,119018
2025-02,ICICI Prudential Life,2259.05,131040
2025-03,ICICI Prudential Life,3259.92,206826
2025-04,ICICI Prudential Life,1451.94,100824
2025-05,ICICI Prudential Life,1831.03,129757
2025-06,ICICI Prudential Life,2257.88,137145
2025-07,ICICI Prudential Life,2389.45,152786
2025-08,ICICI Prudential Life,2017.13,96965
2025-09,ICICI Prudential Life,2348.05,135536
2025-10,ICICI Prudential Life,2364.88,141187
2025-11,ICICI Prudential Life,2214.04,121025
2025-12,ICICI Prudential Life,2419.37,131537
2026-01,ICICI Prudential Life,2069.84,128153
2026-02,ICICI Prudential Life,2091.28,113816
2026-03,ICICI Prudential Life,3746.73,204399
2026-04,ICICI Prudential Life,1869.78,106409
2026-05,ICICI Prudential Life,1859.49,117873
2026-06,ICICI Prudential Life,2522.43,139769
2026-07,ICICI Prudential Life,2676.99,146257
2021-04,Axis Max Life,589.73,36031
2021-05,Axis Max Life,757.56,50898
2021-06,Axis Max Life,934.65,65838
2021-07,Axis Max Life,907.49,58296
2021-08,Axis Max Life,899.1,58730
2021-09,Axis Max Life,993.18,64490
2021-10,Axis Max Life,1109.25,95139
2021-11,Axis Max Life,874.42,51603
2021-12,Axis Max Life,963.66,55946
2022-01,Axis Max Life,923.67,58655
2022-02,Axis Max Life,983.63,59346
2022-03,Axis Max Life,1489.26,99310
2022-04,Axis Max Life,811.8,54210
2022-05,Axis Max Life,851.07,59831
2022-06,Axis Max Life,932.4,58226
2022-07,Axis Max Life,1222.24,82913
2022-08,Axis Max Life,1125.54,78133
2022-09,Axis Max Life,1148.69,77311
2022-10,Axis Max Life,1112.45,75507
2022-11,Axis Max Life,1023.54,62224
2022-12,Axis Max Life,1210.5,72048
2023-01,Axis Max Life,1057.44,71169
2023-02,Axis Max Life,987.33,66480
2023-03,Axis Max Life,1793.22,122293
2023-04,Axis Max Life,803.6,45252
2023-05,Axis Max Life,924.9,71902
2023-06,Axis Max Life,1051.06,59169
2023-07,Axis Max Life,1162.98,81846
2023-08,Axis Max Life,1188.36,68552
2023-09,Axis Max Life,1367.57,86408
2023-10,Axis Max Life,1249.03,83193
2023-11,Axis Max Life,1267.73,78089
2023-12,Axis Max Life,1284.73,84863
2024-01,Axis Max Life,1023.02,69761
2024-02,Axis Max Life,1185.68,75334
2024-03,Axis Max Life,2154.65,147896
2024-04,Axis Max Life,931.25,65563
2024-05,Axis Max Life,1205.3,72797
2024-06,Axis Max Life,1194.42,65303
2024-07,Axis Max Life,1135.71,68590
2024-08,Axis Max Life,1431.64,93076
2024-09,Axis Max Life,1540.67,96272
2024-10,Axis Max Life,1493.39,101147
2024-11,Axis Max Life,1008.9,67367
2024-12,Axis Max Life,1542.61,102455
2025-01,Axis Max Life,1268.77,76013
2025-02,Axis Max Life,1486.85,96695
2025-03,Axis Max Life,2191.28,130869
2025-04,Axis Max Life,1001.23,62763
2025-05,Axis Max Life,1158.43,83354
2025-06,Axis Max Life,1257.67,92809
2025-07,Axis Max Life,1602.31,108681
2025-08,Axis Max Life,1705.45,120074
2025-09,Axis Max Life,1637.49,105028
2025-10,Axis Max Life,1441.22,95515
2025-11,Axis Max Life,1441.1,100541
2025-12,Axis Max Life,1621.85,109597
2026-01,Axis Max Life,1605.74,112170
2026-02,Axis Max Life,1625.09,111704
2026-03,Axis Max Life,2575.13,195365
2026-04,Axis Max Life,1133.72,74598
2026-05,Axis Max Life,1371.54,94362
2026-06,Axis Max Life,1660.13,101846
2026-07,Axis Max Life,1691.49,120458
2021-04,Bajaj Allianz Life,644.46,53654
2021-05,Bajaj Allianz Life,704.57,53244
2021-06,Bajaj Allianz Life,647.1,53501
2021-07,Bajaj Allianz Life,841.07,59709
2021-08,Bajaj Allianz Life,770.58,57160
2021-09,Bajaj Allianz Life,954.24,67423
2021-10,Bajaj Allianz Life,922.94,67154
2021-11,Bajaj Allianz Life,898.63,63212
2021-12,Bajaj Allianz Life,902.89,66881
2022-01,Bajaj Allianz Life,820.16,62357
2022-02,Bajaj Allianz Life,851.43,62999
2022-03,Bajaj Allianz Life,1770.3,123541
2022-04,Bajaj Allianz Life,651.11,52588
2022-05,Bajaj Allianz Life,578.99,47918
2022-06,Bajaj Allianz Life,867.05,65546
2022-07,Bajaj Allianz Life,966.04,74027
2022-08,Bajaj Allianz Life,956.68,72508
2022-09,Bajaj Allianz Life,1005.79,74920
2022-10,Bajaj Allianz Life,1035.78,86803
2022-11,Bajaj Allianz Life,813.09,58062
2022-12,Bajaj Allianz Life,980.62,73222
2023-01,Bajaj Allianz Life,887.71,81565
2023-02,Bajaj Allianz Life,927.27,61998
2023-03,Bajaj Allianz Life,1414.23,110356
2023-04,Bajaj Allianz Life,670.1,48781
2023-05,Bajaj Allianz Life,905.24,63025
2023-06,Bajaj Allianz Life,991.25,76859
2023-07,Bajaj Allianz Life,936.28,63577
2023-08,Bajaj Allianz Life,994.13,75011
2023-09,Bajaj Allianz Life,1029.09,83637
2023-10,Bajaj Allianz Life,972.02,67029
2023-11,Bajaj Allianz Life,1014.99,78257
2023-12,Bajaj Allianz Life,1118.35,82994
2024-01,Bajaj Allianz Life,992.99,72843
2024-02,Bajaj Allianz Life,1048.18,76301
2024-03,Bajaj Allianz Life,1547.08,119481
2024-04,Bajaj Allianz Life,739.66,49731
2024-05,Bajaj Allianz Life,875.28,67406
2024-06,Bajaj Allianz Life,1082.32,87841
2024-07,Bajaj Allianz Life,1073.42,82738
2024-08,Bajaj Allianz Life,1047.39,99949
2024-09,Bajaj Allianz Life,1232.22,103874
2024-10,Bajaj Allianz Life,1069.16,82558
2024-11,Bajaj Allianz Life,1217.26,93804
2024-12,Bajaj Allianz Life,1167.79,89637
2025-01,Bajaj Allianz Life,988.76,75829
2025-02,Bajaj Allianz Life,1051.6,82753
2025-03,Bajaj Allianz Life,1886.66,138234
2025-04,Bajaj Allianz Life,902.53,64643
2025-05,Bajaj Allianz Life,1096.83,82022
2025-06,Bajaj Allianz Life,1172.55,85834
2025-07,Bajaj Allianz Life,1186.98,84856
2025-08,Bajaj Allianz Life,1307.52,106447
2025-09,Bajaj Allianz Life,1226.01,92789
2025-10,Bajaj Allianz Life,1177.91,94256
2025-11,Bajaj Allianz Life,1077.92,86583
2025-12,Bajaj Allianz Life,1276.29,83812
2026-01,Bajaj Allianz Life,1064.01,77194
2026-02,Bajaj Allianz Life,1211.11,92275
2026-03,Bajaj Allianz Life,1865.5,141111
2026-04,Bajaj Allianz Life,885.34,78594
2026-05,Bajaj Allianz Life,1128.22,81119
2026-06,Bajaj Allianz Life,1113.41,97012
2026-07,Bajaj Allianz Life,1153.88,76508
2021-04,Kotak Mahindra Life,459.96,25632
2021-05,Kotak Mahindra Life,464.05,27018
2021-06,Kotak Mahindra Life,631.38,31589
2021-07,Kotak Mahindra Life,630.7,37072
2021-08,Kotak Mahindra Life,588.71,34563
2021-09,Kotak Mahindra Life,670.78,38155
2021-10,Kotak Mahindra Life,665.81,38119
2021-11,Kotak Mahindra Life,524.56,28604
2021-12,Kotak Mahindra Life,660.7,40317
2022-01,Kotak Mahindra Life,625.86,38618
2022-02,Kotak Mahindra Life,623.43,33700
2022-03,Kotak Mahindra Life,927.83,52694
2022-04,Kotak Mahindra Life,481.73,29823
2022-05,Kotak Mahindra Life,562.16,28425
2022-06,Kotak Mahindra Life,701.77,36504
2022-07,Kotak Mahindra Life,718.35,36352
2022-08,Kotak Mahindra Life,691.27,37126
2022-09,Kotak Mahindra Life,717.09,38663
2022-10,Kotak Mahindra Life,712.63,39708
2022-11,Kotak Mahindra Life,667.13,40408
2022-12,Kotak Mahindra Life,753.22,49807
2023-01,Kotak Mahindra Life,668.14,35822
2023-02,Kotak Mahindra Life,754.62,54566
2023-03,Kotak Mahindra Life,807.42,43454
2023-04,Kotak Mahindra Life,508.87,27171
2023-05,Kotak Mahindra Life,606.45,32435
2023-06,Kotak Mahindra Life,710.21,39540
2023-07,Kotak Mahindra Life,767.17,42059
2023-08,Kotak Mahindra Life,759.04,43063
2023-09,Kotak Mahindra Life,840.78,46189
2023-10,Kotak Mahindra Life,834.44,40478
2023-11,Kotak Mahindra Life,761.71,46448
